cohort,endpoint_name,input_name,decile,predicted_risk,observed_risk,observed_risk_se,observed_risk_ci_lower,observed_risk_ci_upper,decile_n,decile_n_events,n,n_events,overall_predicted_risk,overall_observed_risk,follow_up_time,n_female,n_male,n_total
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,2,0.10584354027556842,0.07574801161469445,0.027512509766779537,0.02182448334750009,0.12967153988188881,23763,18,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,3,0.14234836035428755,0.13045490889196668,0.03609573478429011,0.059708568719248414,0.20120124906468495,23763,31,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,4,0.1850694716442705,0.13466313175946568,0.036672530550885686,0.06278629265778492,0.20653997086114645,23763,32,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,5,0.23392267204797776,0.18516180616924896,0.04299147998680912,0.10090005375302859,0.26942355858546935,23763,44,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,6,0.28817364474879253,0.290379597676959,0.05380971844674381,0.18491448750310058,0.3958447078508174,23762,69,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,7,0.34982466476670554,0.3408803972729557,0.058286593667097146,0.22664077290392493,0.4551200216419865,23762,81,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,8,0.42408081342261406,0.37033919703727064,0.060743988518890346,0.25128316726293104,0.48939522681161024,23762,88,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,9,0.5249176979853403,0.45871559633027653,0.06757444880940988,0.32627211038868764,0.5911590822718654,23762,109,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,10,0.7519368320010964,0.8500967931992426,0.09180989164905055,0.6701527121425789,1.0300408742559064,23762,202,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
UK Biobank,Chronic obstructive pulmonary disease,Age + sex + biomarkers,1,0.06633886993489853,0.038509263617303544,0.01962041823114811,5.395052264017819e-5,0.07696457671196691,23371,9,233704,1229,0.5584114745512652,0.5258788895355204,3,243663,171929,415592
